Tag;Monat;Jahr;Stunde;Minute;Text
1;2;2020;17;0;Jugend-Fackelwanderung in Rutesheim
2;2;2020;9;30;"Gottesdienst Predigtgrundlage: Johannes 1,17 Kindergottesdienst in Heimerdingen Vorsonntagsschule"
6;2;2020;20;0;"Gottesdienst in Ditzingen Predigtgrundlage: 3.Mose 25,35"
8;2;2020;5;30;"Schneetag der Jugend in Balderschwang Treffpunkt: 5:30h Glaspalast Sindelfingen 9;2;2020;9;30;"Gottesdienst
Predigtgrundlage: 1.Korinther 13, 13
Sonntags- und Vorsonntagsschule"
10;2;2020;16;0;Seniorenchorprobe in Leonberg
10;2;2020;20;0;Jugendabend
11;2;2020;20;0;Chorprobe in Ditzingen
12;2;2020;15;0;Seniorentreffen 
13;2;2020;20;0;"Gottesdienst in Ditzingen mit Bischof Bornhäußer Predigtgrundlage: 1. Mose 9,12-13"
15;2;2020;10;30;Jugendchorprobe in Fellbach 
16;2;2020;9;30;"Gottesdienst Predigtgrundlage: Galater 5, 14 Sonntags- und Vorsonntagsschule"
16;2;2020;10;0;Jugendgottesdienst mit Apostel Loy in Fellbach
18;2;2020;20;0;Chorprobe
20;2;2020;20;0;"Gottesdienst Predigtgrundlage:Römer 2, 4 Zum Gottesdienst ist die Gemeinde Ditzingen eingeladen"
21;2;2020;19;0;Probe der NAKaronies in Leonberg
23;2;2020;9;30;"Gottesdienst 
Predigtgrundlage: Matthäus 5, 44.45
Sonntags- und Vorsonntagsschule"
24;2;2020;18;0;"Trauergesprächskreis in S-Zuffenhausen. Voranmeldung unter 07151/82380 oder 07234/1730"
25;2;2020;14;0;Seniorenwandern
25;2;2020;15;0;"Blutspendeaktion 15:00 bis 18:30 Uhr"
27;2;2020;20;0;"Gottesdienst mit Apostel Loy Zum Gottesdienst ist die Gemeinde Ditzingen eingeladen."
